Date,AQI,PM2.5,PM10,CO,NO,NO2,O3,SO2,NH3
2021-11-29,211.11,182.05,211.11,4267.45,76.39,83.74,47.94,17.89,34.7
2021-11-30,413.2,353.59,413.2,8799.16,183.75,164.49,26.71,51.75,76.12
2021-12-01,501.1,446.87,501.1,8388.04,152.66,172.53,23.89,47.28,78.55
2021-12-02,681.53,610.78,681.53,11567.91,207.58,219.37,35.53,61.61,110.08
2021-12-03,342.35,296.0,342.35,5469.64,84.79,114.5,29.23,21.97,47.86
2021-12-04,91.75,74.81,91.75,2735.65,51.59,48.47,32.21,9.01,10.79
2021-12-05,120.56,100.32,120.56,2766.53,37.73,60.2,24.92,9.61,11.49
2021-12-06,249.29,210.98,249.29,4845.46,87.17,85.67,21.66,16.05,28.2
2021-12-07,358.6,310.81,358.6,7025.64,134.04,131.21,22.06,26.96,58.6
2021-12-08,483.63,417.85,483.63,9046.16,175.52,156.0,23.56,39.36,88.65
2021-12-09,253.51,215.32,253.51,4506.11,69.48,89.88,22.3,13.82,29.31
2021-12-10,338.11,287.07,338.11,7270.42,146.4,139.15,18.46,36.47,72.59
2021-12-11,384.87,339.19,384.87,8187.77,164.93,153.57,12.63,44.45,67.04
2021-12-12,489.83,425.47,489.83,9688.7,214.67,168.19,17.28,74.2,103.75
2021-12-13,317.46,261.43,317.46,6325.52,132.92,106.62,22.29,31.42,63.85
2021-12-14,143.81,117.04,143.81,3103.1,47.6,69.67,19.57,17.86,18.16
2021-12-15,192.45,161.56,192.45,5098.03,113.92,82.28,29.05,15.62,25.15
2021-12-16,213.39,183.07,213.39,3801.54,54.39,85.15,41.02,17.47,32.21
2021-12-17,270.6,236.32,270.6,4523.91,67.01,98.78,27.37,20.31,32.14
2021-12-18,298.93,262.43,298.93,5377.85,86.97,113.29,28.2,23.93,51.23
2021-12-19,408.0,353.93,408.0,7331.05,131.34,141.73,18.6,30.12,62.7
2021-12-20,472.87,416.56,472.87,6960.55,119.67,122.31,22.96,27.19,56.31
2021-12-21,571.03,520.28,571.03,9266.46,164.72,187.7,22.22,48.69,95.99
2021-12-22,483.57,435.83,483.57,8118.23,147.17,125.37,20.87,27.74,42.32
2021-12-23,449.14,384.26,449.14,8885.94,199.72,146.46,13.2,51.17,94.76
2021-12-24,327.93,278.6,327.93,6957.77,147.04,125.08,14.82,35.56,72.04
