Date,AQI,PM2.5,PM10,CO,NO,NO2,O3,SO2,NH3
2021-11-29,180,145,180,1779,2,46,96,30,21
2021-11-30,161,124,161,2152,4,58,74,30,27
2021-12-01,153,122,153,1726,3,41,86,22,23
2021-12-02,323,264,323,5082,73,97,65,47,59
2021-12-03,196,163,196,2192,8,53,82,21,26
2021-12-04,310,252,310,3839,40,68,48,25,37
2021-12-05,366,271,366,5004,47,120,23,45,53
2021-12-06,357,287,357,5364,74,92,63,51,61
2021-12-07,272,220,272,3660,25,82,49,42,45
2021-12-08,210,166,210,2610,8,67,67,39,32
2021-12-09,171,136,171,2107,4,54,76,31,26
2021-12-10,236,195,236,2988,16,83,64,38,34
2021-12-11,362,305,362,4360,34,99,87,32,45
2021-12-12,338,276,338,3950,19,104,58,33,43
2021-12-13,508,424,508,7169,81,150,29,59,84
2021-12-14,271,212,271,3336,25,78,60,51,39
2021-12-15,175,119,175,2417,22,51,46,26,33
2021-12-16,142,99,142,1480,1,38,91,30,18
2021-12-17,130,105,130,1379,1,33,102,31,16
2021-12-18,246,196,246,3770,35,88,64,53,46
2021-12-19,522,427,522,6710,76,133,76,58,73
2021-12-20,248,183,248,3309,29,91,56,24,28
2021-12-21,245,177,245,3450,33,88,32,30,25
2021-12-22,120,71,120,1362,7,46,60,9,12
2021-12-23,186,127,186,1470,1,51,60,34,10
2021-12-24,226,175,226,1492,0,35,87,15,9
2021-12-25,61,36,61,512,0,14,77,4,3
2021-12-26,147,122,147,1554,0,48,59,53,11
2021-12-27,158,141,158,1471,0,29,93,25,10
2021-12-28,207,179,207,2319,8,52,85,33,20
2021-12-29,185,155,185,2129,3,55,71,32,20
2021-12-30,102,78,102,1133,1,28,94,22,12
2021-12-31,117,95,117,1463,1,35,92,20,16
2022-01-01,102,81,102,1160,1,25,96,17,13
2022-01-02,136,102,136,1597,2,47,85,35,20
2022-01-03,201,161,201,1912,3,54,73,46,20
2022-01-04,119,89,119,1488,4,46,71,32,13
2022-01-05,91,66,91,1167,2,38,51,31,7
2022-01-06,58,51,58,1117,1,25,91,20,8
2022-01-07,70,54,70,1264,2,32,60,20,9
2022-01-08,175,143,175,2961,16,68,40,29,30
2022-01-09,227,187,227,2807,12,65,56,39,26
2022-01-10,285,239,285,4188,36,89,41,56,39
2022-01-11,269,232,269,3947,36,75,50,32,35
2022-01-12,336,282,336,4558,46,94,40,73,39
2022-01-13,214,173,214,3038,15,74,54,41,31
2022-01-14,106,86,106,1440,1,34,91,25,15
2022-01-15,101,82,101,1095,0,24,107,23,11
2022-01-16,149,119,149,2209,10,55,74,33,26
2022-01-17,260,206,260,3901,41,76,53,37,45
2022-01-18,326,271,326,4251,60,59,65,25,37
2022-01-19,99,47,99,527,0,9,90,4,3
2022-01-20,182,40,182,323,0,4,91,2,0
2022-01-21,481,87,481,366,0,6,112,8,2
2022-01-22,219,43,219,399,0,9,92,18,3
2022-01-24,443,323,443,4764,26,153,71,71,59
2022-01-24,337,250,337,3780,31,84,84,52,40
2022-01-25,572,470,572,6633,40,185,61,63,55
2022-01-26,456,379,456,5297,35,127,86,71,51
