Timestamp,AQI,PM2.5,PM10,CO,NO,NO2,O3,SO2,NH3
2024-11-25 18:00:00,548.04,464.48,548.04,8331.3,44.26,222.09,0,55.31,90.18
2024-11-25 19:00:00,612.47,517.46,612.47,9613.04,85.83,222.09,0,54.36,98.29
2024-11-25 20:00:00,574.25,477.98,574.25,9292.6,97.45,208.38,0,48.64,86.13
2024-11-25 21:00:00,475.79,382.86,475.79,7690.43,75.1,189.19,0,42.92,67.89
2024-11-25 22:00:00,354.02,272.53,354.02,5287.17,37.55,152.17,0,37.19,49.14
2024-11-25 23:00:00,291.79,219.16,291.79,4058.84,20.79,119.27,0,32.42,41.04
2024-11-26 00:00:00,152.97,97.97,152.97,1361.85,0.26,41.47,15.38,10.73,16.97
2024-11-26 01:00:00,154.49,100.17,154.49,1428.6,0.47,43.87,14.48,11.21,16.47
2024-11-26 02:00:00,196.03,140.76,196.03,2349.85,18.55,57.58,0.86,15.5,24.07
2024-11-26 03:00:00,252.76,196.1,252.76,3845.22,63.48,67.17,0.45,19.79,30.15
2024-11-26 04:00:00,310.25,250.8,310.25,5340.58,101.92,80.88,4.29,24.56,43.06
2024-11-26 05:00:00,367.87,306.09,367.87,6462.1,108.18,112.41,13.77,31.47,58.77
2024-11-26 06:00:00,423.67,361.86,423.67,6782.53,66.16,178.22,52.93,36.72,59.28
2024-11-26 07:00:00,102.19,62.21,102.19,881.2,3.35,23.31,137.33,16.69,6.97
2024-11-26 08:00:00,82.91,44.51,82.91,467.3,1.2,8.82,140.19,11.44,3.04
2024-11-26 09:00:00,76.85,39.24,76.85,410.56,1.01,7.54,135.9,9.89,2.53
2024-11-26 10:00:00,71.67,35.1,71.67,373.84,0.84,6.86,127.32,8.35,2.06
2024-11-26 11:00:00,71.12,34.21,71.12,370.5,0.71,7.54,117.3,7.27,1.95
2024-11-26 12:00:00,71.46,33.5,71.46,387.19,0.37,9.77,107.29,6.56,1.96
2024-11-26 13:00:00,92.26,51.63,92.26,1068.12,0.09,47.3,56.51,10.37,10.64
2024-11-26 14:00:00,133.6,88.49,133.6,2002.72,6.99,78.14,5.1,15.14,24.83
2024-11-26 15:00:00,170.02,120.53,170.02,2536.77,21.91,69.92,0.07,17.17,34.96
2024-11-26 16:00:00,211.45,157.8,211.45,3124.24,35.32,65.12,0,18.84,43.06
2024-11-26 17:00:00,249.91,192.1,249.91,3631.59,46.94,61.01,0,19.79,43.06
2024-11-26 18:00:00,254.29,195.11,254.29,3685,50.96,56.21,0,18.12,33.44
2024-11-26 19:00:00,219.95,163.11,219.95,3150.94,43.81,52.78,0,13.47,20.27
2024-11-26 20:00:00,192.66,137.7,192.66,2616.88,32.63,49.35,0,10.85,13.55
2024-11-26 21:00:00,180.56,125.8,180.56,2243.04,22.58,47.3,0.02,9.78,11.02
2024-11-26 22:00:00,167.13,112.49,167.13,1869.2,12.29,44.55,0.26,8.7,8.99
2024-11-26 23:00:00,161.62,107.26,161.62,1682.28,5.76,44.55,1.23,8.23,7.54
2024-11-27 00:00:00,166.68,112.97,166.68,1762.39,3.74,49.35,2.37,8.7,6.78
2024-11-27 01:00:00,180.66,127.31,180.66,2082.82,5.98,58.26,1.52,10.13,7.66
2024-11-27 02:00:00,232.63,176.22,232.63,3231.05,29.5,68.55,0.04,15.5,14.82
2024-11-27 03:00:00,288.38,228.71,288.38,4753.11,74.21,76.77,0.45,20.5,20.52
2024-11-27 04:00:00,330.38,267.37,330.38,5981.45,109.08,89.11,4.56,25.27,27.36
2024-11-27 05:00:00,301.44,241.07,301.44,5447.39,83.15,104.19,17.7,25.75,38
2024-11-27 06:00:00,192.05,140.01,192.05,3017.43,26.6,80.2,63.66,20.27,27.87
2024-11-27 07:00:00,80.86,36.9,80.86,480.65,1.77,10.11,110.15,6.5,3.45
2024-11-27 08:00:00,72.38,30.34,72.38,360.49,0.96,5.91,111.58,4.65,2.06
2024-11-27 09:00:00,71.44,29.5,71.44,363.83,0.96,6.26,108.72,4.59,1.96
2024-11-27 10:00:00,73.06,30.11,73.06,383.85,1.09,7.8,103,5.36,2.31
2024-11-27 11:00:00,79.14,32.32,79.14,433.92,1.29,11.14,94.41,6.5,3.1
2024-11-27 12:00:00,82.73,34.11,82.73,507.36,0.86,16.79,82.97,7.09,3.8
2024-11-27 13:00:00,102.05,52.3,102.05,1228.33,0.62,55.52,36.48,10.49,12.67
2024-11-27 14:00:00,147.27,94.18,147.27,2349.85,15.65,80.88,0.89,15.5,27.87
2024-11-27 15:00:00,194.62,137.16,194.62,3124.24,33.53,75.4,0,18.36,32.17
2024-11-27 16:00:00,257.16,194.31,257.16,4058.84,50.96,76.77,0,21.94,31.92
2024-11-27 17:00:00,341.16,272.03,341.16,5393.98,76.89,80.88,0,25.51,33.44
2024-11-27 18:00:00,412.73,339.38,412.73,6568.91,103.71,84.31,0,25.99,29.89
2024-11-27 19:00:00,435.33,361.98,435.33,7049.56,118.02,89.11,0,22.41,20.77
2024-11-27 20:00:00,426.16,354.15,426.16,6835.94,111.76,93.22,0,19.31,15.96
2024-11-27 21:00:00,396.32,326.51,396.32,6248.47,93.88,94.59,0,17.41,14.44
2024-11-27 22:00:00,337.87,272.19,337.87,5073.55,67.06,86.37,0,15.02,12.92
2024-11-27 23:00:00,297.91,235.42,297.91,4219.06,50.52,77.46,0,13.83,12.41
2024-11-28 00:00:00,272.02,218.38,272.02,3791.81,42.02,71.97,0,14.19,13.05
2024-11-28 01:00:00,245.2,199.02,245.2,3417.97,36.66,65.8,0,14.54,13.55
2024-11-28 02:00:00,260.83,215.72,260.83,3845.22,54.54,62.38,0,17.88,17.99
2024-11-28 03:00:00,288.17,241.26,288.17,4806.52,90.3,64.43,0.09,20.98,19
2024-11-28 04:00:00,297.22,245.18,297.22,5340.58,110.87,70.6,1.19,23.6,17.99
2024-11-28 05:00:00,315.38,257.76,315.38,5821.23,116.23,82.94,4.74,27.66,25.08
2024-11-28 06:00:00,337.77,279.3,337.77,5981.45,92.09,119.27,16.81,30.52,35.47
2024-11-28 07:00:00,99.09,61,99.09,1214.98,5.98,35.99,95.84,15.74,8.04
2024-11-28 08:00:00,79.35,43.98,79.35,761.03,2.32,19.36,120.16,11.09,5.45
2024-11-28 09:00:00,75.93,42.05,75.93,687.6,1.77,17.48,128.75,10.85,5.51
2024-11-28 10:00:00,68.48,36.45,68.48,574.11,1.31,15.42,124.45,9.66,4.81
2024-11-28 11:00:00,61.62,31.21,61.62,514.03,1.02,15.59,108.72,8.7,4.43
