Timestamp,Estimated AQI,PM2.5,PM10,CO,NO,NO2,O3,SO2,NH3
2021-11-29 18:00:00,147.14,126.07,147.14,1789.09,0,51.41,65.09,8.34,12.92
2021-11-29 19:00:00,127.47,109.69,127.47,1495.36,0,39.41,74.39,7.15,10.13
2021-11-29 20:00:00,117.47,101.9,117.47,1281.74,0,29.47,82.25,6.44,8.74
2021-11-29 21:00:00,115.28,100.55,115.28,1174.93,0,21.93,86.55,6.14,8.36
2021-11-29 22:00:00,119.83,105.02,119.83,1161.58,0,18.68,83.68,5.66,8.23
2021-11-29 23:00:00,129.57,113.97,129.57,1228.33,0,18.85,74.39,5.13,8.11
2021-11-30 00:00:00,139.01,122.59,139.01,1348.5,0,21.93,62.94,4.95,7.98
2021-11-30 01:00:00,148.66,130.71,148.66,1535.42,0,30.5,47.92,5.19,8.99
2021-11-30 02:00:00,168.36,146.54,168.36,2136.23,1.77,59.63,15.2,6.79,13.05
2021-11-30 03:00:00,192.17,165.29,192.17,3204.35,36.21,71.97,0.99,8.94,17.73
2021-11-30 04:00:00,209.89,179.07,209.89,4165.65,77.78,71.97,5.72,10.85,22.55
2021-11-30 05:00:00,208.6,176.92,208.6,4219.06,77.78,75.4,14.48,11.56,23.81
2021-11-30 06:00:00,187.4,159.22,187.4,3471.37,47.83,77.46,34.33,11.68,20.52
2021-11-30 07:00:00,79.07,68.34,79.07,1188.28,5.53,27.42,110.15,15.74,8.87
2021-11-30 08:00:00,72.29,63.2,72.29,1001.36,3.41,20.73,130.18,15.74,7.85
2021-11-30 09:00:00,75.12,66.29,75.12,1001.36,2.85,21.25,140.19,16.21,7.85
2021-11-30 10:00:00,108.7,95.71,108.7,1695.63,6.54,51.41,111.58,12.52,12.16
2021-11-30 11:00:00,146.48,128.66,146.48,2536.77,9.72,91.85,64.37,10.85,16.47
2021-11-30 12:00:00,171.53,150.02,171.53,3364.56,14.53,132.98,11.27,10.85,19.51
2021-11-30 13:00:00,219.88,189.73,219.88,5393.98,88.51,142.57,0,16.45,33.44
2021-11-30 14:00:00,293.75,250.77,293.75,7797.24,177.03,157.65,0,25.99,57.76
2021-11-30 15:00:00,372.3,317.66,372.3,9613.04,236.03,171.36,0,34.81,81.06
2021-11-30 16:00:00,466.37,400.55,466.37,11856.08,300.41,191.93,0,47.21,111.46
2021-11-30 17:00:00,568.1,489.24,568.1,14526.37,361.2,219.35,0,61.99,147.94
2021-11-30 18:00:00,629.41,537.52,629.41,16021.73,386.24,244.02,0,70.57,170.23
2021-11-30 19:00:00,614.51,516.12,614.51,15594.48,357.63,249.51,0,68.66,170.23
2021-11-30 20:00:00,535.51,439.94,535.51,12924.19,271.8,227.57,0,56.74,147.94
